nombre,categoria,data,sinonimo,
adjetivo,adjetivos,../Abecedario/adjetivos/adjetivo.mp4,,
alegre,adjetivos,../Abecedario/adjetivos/alegre.mp4,,
alto,adjetivos,../Abecedario/adjetivos/alto.mp4,,
amable,adjetivos,../Abecedario/adjetivos/amable.mp4,,
anaranjado,adjetivos,../Abecedario/adjetivos/anaranjado.mp4,,
azul,adjetivos,../Abecedario/adjetivos/azul.mp4,,
azul rey,adjetivos,../Abecedario/adjetivos/azul rey.mp4,,
bajo,adjetivos,../Abecedario/adjetivos/bajo.mp4,,
barba,adjetivos,../Abecedario/adjetivos/barba.mp4,,
bigote,adjetivos,../Abecedario/adjetivos/bigote.mp4,,
blanco,adjetivos,../Abecedario/adjetivos/blanco.mp4,,
bonito,adjetivos,../Abecedario/adjetivos/bonito.mp4,,
café color,adjetivos,../Abecedario/adjetivos/café color.mp4,,
dulce,adjetivos,../Abecedario/adjetivos/dulce.mp4,,
enano,adjetivos,../Abecedario/adjetivos/enano.mp4,,
enojado,adjetivos,../Abecedario/adjetivos/enojado.mp4,,
feo,adjetivos,../Abecedario/adjetivos/feo.mp4,,
frío,adjetivos,../Abecedario/adjetivos/frío.mp4,,
grande,adjetivos,../Abecedario/adjetivos/grande.mp4,,
gris,adjetivos,../Abecedario/adjetivos/gris.mp4,,
guapo,adjetivos,../Abecedario/adjetivos/guapo.mp4,,
picoso,adjetivos,../Abecedario/adjetivos/picoso.mp4,,
pobre_1,adjetivos,../Abecedario/adjetivos/pobre_1.mp4,,
abajo,conectores,../Abecedario/conectores/abajo.jpg,,
abajo_1,conectores,../Abecedario/conectores/abajo_1.mp4,,
ante,conectores,../Abecedario/conectores/ante.jpg,,
bien,conectores,../Abecedario/conectores/bien.mp4,,
bueno,conectores,../Abecedario/conectores/bueno.mp4,,
en medio,conectores,../Abecedario/conectores/en medio.mp4,,
en,conectores,../Abecedario/conectores/en.mp4,,
encima,conectores,../Abecedario/conectores/encima.mp4,,
enfrente,conectores,../Abecedario/conectores/enfrente.mp4,,
entre,conectores,../Abecedario/conectores/entre.mp4,,
"esa, ese, eso",conectores,"../Abecedario/conectores/esa, ese, eso.mp4",,
por,conectores,../Abecedario/conectores/por.mp4,,
primero adverbio,conectores,../Abecedario/conectores/primero adverbio.jpg,,
aguacates_1,comida,../Abecedario/comida/aguacates_1.mp4,,
aguacates_2,comida,../Abecedario/comida/aguacates_2.mp4,,
ajo,comida,../Abecedario/comida/ajo.mp4,,
almendra,comida,../Abecedario/comida/almendra.jpg,,
arroz,comida,../Abecedario/comida/arroz.mp4,,
asar,comida,../Abecedario/comida/asar.mp4,,
atole,comida,../Abecedario/comida/atole.mp4,,
avena,comida,../Abecedario/comida/avena.jpg,,
azúcar,comida,../Abecedario/comida/azúcar.mp4,,
