Nombre,Femenino,Atributo,Data
a,,,../BD/a.mp4
abajo,,,../BD/abajo.mp4
abandonar,,,../BD/abandonar.mp4
abeja,,,../BD/abeja.mp4
abril,,,../BD/abril.mp4
abrir,,,../BD/abrir.mp4
abuelo,abuela,,../BD/abuelo.mp4
acapulco,,,../BD/acapulco.mp4
acceso,,,../BD/acceso.mp4
aceite,,,../BD/aceite.mp4
aceituna,,,../BD/aceituna.mp4
acelga,,,../BD/acelga.mp4
aceptar,,,../BD/aceptar.mp4
acompañado,,,../BD/acompañado.mp4
acostumbrar,,,../BD/acostumbrar.mp4
adiós,,,../BD/adiós.mp4
adjetivo,,,../BD/adjetivo.mp4
adulto,adulta,,../BD/adulto.mp4
afuera,,,../BD/afuera.mp4
agarrar,,,../BD/agarrar.mp4
agosto,,,../BD/agosto.mp4
aguacate,,,../BD/aguacate.mp4
aguascalientes,,,../BD/aguascalientes.mp4
águila,,,../BD/águila.mp4
ahí,,,../BD/ahí.mp4
ahijado,ahijada,,../BD/ahijado.mp4
ahora,,,../BD/ahora.mp4
ajo,,,../BD/ajo.mp4
ala,,,../BD/ala.mp4
alabar,,,../BD/alabar.mp4
alacrán,,,../BD/alacrán.mp4
alcachofa,,,../BD/alcachofa.mp4
alegre,,,../BD/alegre.mp4
algo,,,../BD/algo.mp4
alimento,,,../BD/alimento.mp4
almeja,,,../BD/almeja.mp4
alto,alta,,../BD/alto.mp4
amable,,,../BD/amable.mp4
amanecer,,,../BD/amanecer.mp4
amante,,,../BD/amante.mp4
amarillo,,,../BD/amarillo.mp4
amigo,amiga,,../BD/amigo.mp4
amistad,,,../BD/amistad.mp4
amolado,,,../BD/amolado.mp4
amor,,,../BD/amor.mp4
anaranjado,,,../BD/anaranjado.mp4
anciano,anciana,,../BD/anciano.mp4
animal,,,../BD/animal.mp4
antes,,,../BD/antes.mp4
antifaz,,,../BD/antifaz.mp4
antiguo,,,../BD/antiguo.mp4
antónimo,,,../BD/antónimo.mp4
antropología,,,../BD/antropología.mp4
año,,,../BD/año.mp4
apagar,,,../BD/apagar.mp4
aparecer,,,../BD/aparecer.mp4
apestoso,,,../BD/apestoso.mp4
aplastar,,,../BD/aplastar.mp4
aprender,,,../BD/aprender.mp4
aprisa,,,../BD/aprisa.mp4
aprobado,,,../BD/aprobado.mp4
araña,,,../BD/araña.mp4
ardilla,,,../BD/ardilla.mp4
arriba,,,../BD/arriba.mp4
arroz,,,../BD/arroz.mp4
artículo,,,../BD/artículo.mp4
asar,,,../BD/asar.mp4
así,,,../BD/así.mp4
asno,,,../BD/asno.mp4
atole,,,../BD/atole.mp4
